<<<<<<< HEAD
en,fr
"<p>Using open data from Montreal's open data portal as well as OpenStreetMap, it was possible to calculate the total surface area of sidewalks, neighbourhood parks, and pre-Covid pedestrian streets. Summing these surface areas gets us the neighbourhood's total walkable surface area. It is then possible to calculate how many residents can ‘fit’ into the pedestrian realm while respecting ‘social distancing’ regulations of 2 meters (total walkable surface area divided by the surface area of a circle with a 2-meter radius, that is 12.54 square meters). Finally, we normalize the value by representing it as a percentage of the residential population. Neighbourhoods where less than 100% of the local population can make trips on foot at the same time are above capacity and more at risk of overcrowding from local pedestrian trips. <p>While it is still important to take into account pedestrian flows coming from external neighbourhoods (some data on pedestrian flows obtained from 2016 TrajetMtl data is presented in this research), the measurement’s focus on local pedestrian capacity is especially relevant during a pandemic situation where shelter in place and travel restrictions have generally led to a rise in local trips and a decline in trips from other neighbourhoods.<br><p><i>Module lead author: Samuel Kohn</i>","<p>En utilisant les données du portail de données ouvertes de Montréal ainsi que OpenStreetMap, il a été possible de calculer la surface totale des trottoirs, des parcs de quartier et des rues piétonnes pré-Covid-19. En additionnant ces surfaces, on obtient la surface totale du quartier où l'on peut marcher. Il est alors possible de calculer combien d'habitants peuvent «s'intégrer» dans la zone piétonne tout en respectant les règles de «distanciation sociale» de 2 mètres (surface totale piétonne divisée par la surface d'un cercle de 2 mètres de rayon, soit 12,54 mètres carrés). Enfin, nous normalisons la valeur en la représentant en pourcentage de la population résidentielle. Les quartiers où moins de 100 % de la population locale peut effectuer des trajets à pied en même temps sont au-dessus de leur capacité et sont plus exposés au risque de surpeuplement des trajets locaux à pied. <p>Même s'il est toujours important de prendre en compte les flux de piétons provenant des quartiers extérieurs (certaines données sur les flux de piétons obtenues à partir des données de 2016 de TrajetMtl sont présentées dans cette recherche), l'accent mis par la mesure sur la capacité piétonne locale est particulièrement pertinent en situation de pandémie, où les protections en place et les restrictions de déplacement ont généralement conduit à une augmentation des déplacements locaux et à une diminution des déplacements provenant d'autres quartiers.<br><p><i>Auteur principal du module: Samuel Kohn</i>"
"Compare the pedestrian capacity for social distancing metric across a variety of other variables, such as walkable access to amenities, income level, immigration, visible minorities, population density, etc.","Comparez la mesure de la capacité des piétons à pratiquer la distance sociale en fonction de diverses autres variables, telles que l'accès à pid aux services de base, le revenu, l'immigration, les minorités visibles, la densité de population, etc."
"The data shows us that the ability to safely navigate pedestrian space tends to be much lower in DAs with lower incomes as well as DAs with high proportions of visible minorities and immigrants compared to majority white regions of Montreal. While the City’s plans to increase walkable urban space made some improvements to these discrepancies, there is room for improvement. The interactive data within this platform has the potential to support policy-makers towards making strategic decisions with more equitable outcomes. Below is a policy analysis exemplar using two variables: capacity for pedestrian social distancing and walkable access to key amenities.","Les données nous montrent que la capacité à se déplacer en toute sécurité dans l'espace piétonnier tend à être beaucoup plus faible dans les AD à faible revenu ainsi que dans les AD ayant une forte proportion de minorités visibles et d'immigrants par rapport aux régions de Montréal où la majorité des habitants sont blancs. Bien que les plans de la Ville visant à augmenter l'espace urbain piétonnier aient permis d'améliorer ces écarts, il y a place à amélioration. Les données interactives de cette plateforme peuvent aider les décideurs politiques à prendre des décisions stratégiques avec des résultats plus équitables. Vous trouverez ci-dessous un exemple d'analyse de politique utilisant deux variables: la capacité de distanciation sociale des piétons et l'accès à pied aux services de base."
"In order to calculate the width of sidewalks in Montreal, we used a spatial dataset published by Montréal Open Data Portal that includes polygons of all sidewalks within the Montreal agglomeration. Using the the object-oriented programming language R, we developed a function which first creates negative buffers inside each sidewalk segment, and then iteratively adjusts the distance of that buffer until the maximum distance is achieved which still produces valid buffer geometry (if the buffer boundaries overlap, the geometry becomes invalid). The outcome is the equivalent of a centreline inside each sidewalk polygon. The last step to determine sidewalk width is to sum the distances between the centreline and both edges of a given sidewalk polygon segment. This process is illustrated below.","Afin de calculer la largeur des trottoirs à Montréal, nous avons utilisé un ensemble de données spatiales publié par le Portail de données ouvertes de Montréal, qui comprend les polygones de tous les trottoirs de l'agglomération de Montréal. En utilisant le langage de programmation orienté objet R, nous avons développé une fonction qui crée d'abord des tampons négatifs à l'intérieur de chaque segment de trottoir, puis ajuste itérativement la distance de ce tampon jusqu'à ce que la distance maximale soit atteinte, ce qui produit encore une géométrie de tampon valide (si les limites du tampon se chevauchent, la géométrie devient invalide). Le résultat est l'équivalent d'une ligne centrale à l'intérieur de chaque polygone de trottoir. La dernière étape pour déterminer la largeur du trottoir consiste à additionner les distances entre la ligne centrale et les deux bords d'un segment donné de polygone de trottoir. Ce processus est illustré ci-dessous."
Tenant-occupied (%),Locataire occupant (%)
Tenant-occupied (%) is the percentage of private dwellings which are occupied by tenants.,Locataire occupant (%) est le pourcentage de logements privés qui sont occupés par des locataires
Average rent,Frais de logement mensuels moyens
Average property value,Valeur foncière moyenne
Average property value is the average value of dwellings.,Valeur foncièr moyenne est la valeur moyenne des propriétés.
Unaffordable housing (%),Logement inabordable (%)
Unaffordable housing (%) is the percentage of dwellings for which residents pay more than 30% of income on housing costs.,Logement inabordable (%) est le pourcentage de logements pour lesquels les résidents paient plus de 30 % de leur revenu sur les frais de logement.
Unsuitable housing (%),Logement inadéquat (%)
"Unsuitable housing (%) is the percentage of households living in unsuitable accommodations according to the National Occupancy Standard, whether the dwelling has enough bedrooms for the size and composition of the household.","Logement inadéquat (%) est le pourcentage de ménages vivant dans un logement inadéquat selon la Norme nationale d'occupation, si le logement a suffisamment de chambres à coucher pour la taille et la composition du ménage."
Median household income,Revenu médian des ménages
Median household income is the median  household income (before tax).,Le revenu médian des ménages est le revenu médian des ménages (avant impôt).
Income under $50k (%),Revenu inférieur à 50 000 $ (%)
"Income under $50k (%) is the percentage of households with an income less then $50,000.",Le revenu inférieur à 50 000 $ (%) est le pourcentage de ménages ayant un revenu inférieur à 50 000 $.
Income between $50k-$100k (%),Revenu entre 50 000 et 100 000 $ (%)
"Income between $50k-$100k (%) is the percentage of households with an income between $50,000 and $100,000.",Le revenu entre 50 000 et 100 000 $ (%) est le pourcentage de ménages ayant un revenu compris entre 50 000 et 100 000 $.
Income above $100k (%),Revenu supérieur à 100 000 $ (%)
"Income above $100k (%) is the percentage of households with an income more than $100,000.",Revenu supérieur à 100 000 $ (%) est le pourcentage de ménages ayant un revenu supérieur à 100 000 $.
Immigrants (%),Immigrants (%)
Immigrants (%) is the percentage of foreign-born residents.,Immigrants (%) est le pourcentage de résidents nés à l'étranger.
New immigrants (%),Nouveaux immigrants (%)
New immigrants (%) is the percentage of people who have immigrated in the last five years.,Nouveaux immigrants (%) est le pourcentage de personnes qui ont immigré au cours des cinq dernières années.
Drive to work (%),Conducteur (%)
Drive to work (%) is the percentage of people who drive a privately owned car or truck to work.,Conducteur (%) est le pourcentage de personnes qui conduisent une voiture ou un camion privé pour se rendre au travail.
Walk or cycle to work (%) is the percentage of people who walk or cycle to work.,À pied ou à vélo (%) correspond au pourcentage de personnes qui marchent ou se rendent au travail à vélo.
Public transit to work (%) is the percentage of people who use public transit to get to work.,Transport en commun (%) est le pourcentage de personnes qui utilisent le transport en commun pour se rendre au travail.
15 minutes to work (%) is the percentage of people whose commute time is less than 15 minutes.,Trajet de 15 minutes (%) est le pourcentage de personnes dont le temps de trajet domicile-travail est inférieur à 15 minutes.
15-30 minutes to work (%) is the percentage of people whose commute time is between 15 and 30 minutes.,Trajet de 15-30 minutes (%) est le pourcentage de personnes dont le temps de trajet domicile-travail se situe entre 15 et 30 minutes.
30-45 minutes to work (%) is the percentage of people whose commute time is between 30 and 45 minutes.,Trajet de 30-45 minutes (%) est le pourcentage de personnes dont le temps de trajet domicile-travail se situe entre 30 et 45 minutes.
45-60 minutes to work (%) is the percentage of people whose commute time is between 45 and 60 minutes.,Trajet de 45-60 minutes (%) est le pourcentage de personnes dont le temps de trajet domicile-travail se situe entre 45 et 60 minutes.
"The whole of an ecosystem is more than the sum of its parts. The health and resilience of our urban green spaces are determined by the quantity, quality, and composition of the species with cohabitat with.","L'ensemble d'un écosystème est plus que la somme de ses parties. La santé et la résilience de nos espaces verts urbains sont déterminées par la quantité, la qualité et la composition des espèces avec lesquelles nous cohabitons."
Montreal's biodiversity is the result of many competing factors...,La biodiversité de Montréal est le résultat de nombreux facteurs concurrents...
Hello Shiny!,French
"Dashboards offer a tool for communicating sustainability data in a visually based digital platform. We see a gap in current dashboards going beyond the visualization of pre-existing data at static scales, leaving room for a more future-oriented, scalable, and interactive model.","Les tableaux de bord offrent un outil pour communiquer des données sur le développment durable dans une plate-forme numérique visuelle. Nous constatons une lacune dans les tableaux de bord actuels allant au-delà de la visualisation de données préexistantes à des échelles statiques, laissant la place à un modèle plus orienté vers l'avenir, modulable et interactif."
"Existing data-driven approaches to urban sustainability are characterized by static data, limited user interaction, and the oversimplification of complex urban issues. They provide little opportunity for user engagement and exploration of questions connecting different data and issues.","Les approches actuelles fondées sur les données étudiant la durabilité urbaine se caractérisent par des données statiques, une interaction limitée pour les utilisateurs et une simplification excessive de problèmes urbains complexes. Elles offrent peu d’opportunités pour l’engagement des utilisateurs et l’exploration de questions reliant différentes données et problèmes."
"Some of the limitations of existing dashboards include a bias towards quantifiable, measurable components of sustainability, and a reliance on data with potential bias. Furthermore, they often attempt to play the role of a neutral force to communicate “objective” information on cities.","Parmi les limites des tableaux de bord existants, on peut citer la préférence accordée aux éléments quantifiables et mesurables de la durabilité, et la dépendance à l'égard de données potentiellement biaisées. En outre, ils tentent souvent de jouer le rôle d'une force neutre pour communiquer des informations “objectives” sur les villes."
Sustainability dashboards should build upon best practices to provide useful tools for individuals and cities alike to examine the many facets of urban sustainability and question existing assumptions.,Les tableaux de bord sur la durabilité devraient s'appuyer sur les meilleures pratiques afin de fournir des outils utiles aux individus comme aux villes pour examiner les nombreuses facettes de la durabilité urbaine et remettre en question les hypothèses existantes.
"Maintaining transparency with data and methodologies, ensuring public participation and accurate representation of underprivileged communities, and using engaging and accessible tools contribute to the success of a dashboard.","Maintenir la transparence des données et des méthodologies, s'assurer de la participation du public et de la représentation exacte des communautés défavorisées, ainsi qu'utiliser des outils attrayants et accessibles contribuent au succès d'un tableau de bord."
Sus aims to more accurately represent and better engage urban residents in order to harness the momentum surrounding technologically-based approaches to sustainability for public good.,Sus vise à représenter plus justement et à mieux impliquer les résidents urbains afin d'exploiter le momentum entourant les approches technologiques de la durabilité pour le bien public.
Further resources:,Ressources additionnelles
Active living potential,Potentiel de vie active
Commuter mode switching,Changement de mode de transport
Pedestrian realm,La voie piétonne
Why a dashboard?,Pourquoi un tableau de bord?
Meet the team,Rencontrez l'équipe
Nature-based solutions,Solutions basées sur la nature
Simulation,Simulation
Built environment,Le cadre bâti
Pedestrian capacity for social distancing (census tracts),Capacité de distanciation sociale dans la voie piétonne (secteur de recensement)
Pedestrian capacity for social distancing (dissemination areas),Capacité de distanciation sociale dans la voie piétonne (aire de diffusion)
Explore sidewalks and parks,Explorez les trottoirs et les parcs
"<ul><li>  The top 3 boroughs that have the highest proportion of people living in census tracts with a low capacity for pedestrian physical distancing were 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>","<ul><li>  Les trois arrondissements ayant la plus grande proportion de personnes vivant dans des secteurs de recensement avec une faible capacité pour une distanciation physique piétonne sont 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>"
Select your second variable,Choisissez votre deuxième variable
Net Median Income,Revenu médian net
Visible Minority Population Proportion,Minorité visible (proportion de la population)
Immigrant Population Proportion,Immigrant (proportion de la population)
Montreal Covid-19 Expanded Active Transit Corridors,Voies actives et sécuritaires de la Ville de Montréal (Covid-19)
Play with the slider to filter the map,Jouez avec le curseur afin de filtrer et modifier la carte
Explore,Explorez
Did you know?,Saviez-vous?
Housing,Logement
Income,Revenu
Immigration,Immigration
Transportation,Déplacement domicile-travail
borough/city,de l'arrondissement/de la ville
boroughs or cities,des arrondissements ou des villes
census tract,du secteur de recensement
census tracts,des secteurs de recensement
dissemination area,de l'aire de diffusion
dissemination areas,des aires de diffusion
Census tract {dat$name},Secteur de recensement {dat$name}
Dissemination area {dat$name},Aire de diffusion {dat$name}
{dat$name_2} of {place_name},{dat$name_2} de {place_name}
Walk or cycle to work (%),À pied ou à vélo (%)
Public transit to work (%),Transport en commun (%)
15 minutes to work (%),Trajet de 15 minutes (%)
15-30 minutes to work (%),Trajet de 15-30 minutes (%)
30-45 minutes to work (%),Trajet de 30-45 minutes (%)
45-60 minutes to work (%),Trajet de 45-60 minutes (%)
----,----
much larger than,beaucoup plus grand que
larger than,plus grand que
almost the same as,presque le même que
smaller than,plus petit que
much smaller than,beaucoup plus petit que
larger,plus grand
smaller,plus petit
strong,fort
poor,faible
moderate,modéré
positive,positif
negative,négatif
weak,faible
higher,plus grandes
lower,plus petites
with only a few exceptions,à quelques exceptions près
although with some exceptions,bien qu'avec des exceptions
although with many exceptions,bien qu'avec beaucoup d'exceptions
dramatically different,radicalement différents
substantially different,sensiblement différents
considerably different,modérément différents
"At the {scale_singular} scale, the CanALE index varies from {min_val} to {max_val}, with an average value of {mean_val} and a median value of {median_val}. Two thirds of {scale_plural} have a score between {quant_low} and {quant_high}.","À l'échelle {scale_singular}, l'index AVA-Can varie de {min_val} à {max_val}, avec une valeur moyenne de {mean_val} et une valeur médianne de {median_val}. Deux tiers {scale_plural} ont un score se situant entre {quant_low} et {quant_high}."
"<strong>Kahnawake Mohawk Territory</strong><p>Statistics Canada does not gather the same data for indigenous reserves in the Census as it does for other jurisdictions, so we cannot display findings here.","<strong>Kahnawake (Réserve indienne)</strong><p>Dans le cadre du recensement, Statistique Canada ne recueille pas les mêmes données pour les réservesautochtones que dans les autres juridictions, nous ne pouvons donc pas afficher de résultats ici."
CanALE Index,Index AVA-Can
Active living potential: the CanALE index,Potentiel de vie active: l'index AVA-Can
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')} and a CanALE index score of {round(poly_value, 2)}, which is {larger_smaller} the region-wide median of {median_val}.<p>{place_name} has {poor_strong} potential for active living, with a CanALE index score higher than {percentile}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')} et un score d'index AVA-Can de {round(poly_value, 2)}, ce qui est {larger_smaller} la médiane régionale de {median_val}.<p>{place_name} a un potentiel {poor_strong} de vie active, avec un score d'index AVA-Can plus grand que {percentile}% des {scale_plural} dans la région de Montréal."
"<p>{var_explanation}<p>The CanALE index has effectively no correlation ({correlation}) with {var_name} at the {scale_singular} scale.<p>This means that, at the {scale_singular} scale, there is no relationship between the two variables.","<p>{var_explanation}<p>L'index AVA-Can n'a en fait aucune corrélation ({correlation}) avec {var_name} à l'échelle '{scale_singular}'.<p>Cela signifie que, à l'échelle '{scale_singular}', il n'y a pas de relation entre ces deux variables."
"<p>{var_explanation}<p>The CanALE index has a {strong_weak} {pos_neg} correlation ({correlation}) with '{tolower(var_name)}' at the {scale_singular} scale.<p>This means that, in general, {scale_plural} with higher potential for active living tend to have {higher_lower} values for '{tolower(var_name)}', {high_low_disclaimer}.","<p>{var_explanation}<p>L'index AVA-Can a un indice de corrélation {strong_weak} et {pos_neg} ({correlation}) avec '{tolower(var_name)}' à l'échelle '{scale_singular}'.<p>Cela signifie qu'en général, les {scale_plural} avec un haut potentiel de vie active tendent à avoir des {higher_lower} valeurs pour '{tolower(var_name)}', {high_low_disclaimer}."
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')}, a CanALE index score of {round(poly_value_1, 2)}, and a '{tolower(var_name)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. {place_name} has a CanALE index score higher than {percentile_left}% of {scale_plural} and a '{tolower(var_name)}' score higher than {percentile_right}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')}, un score d'index AVA-Can de {round(poly_value_1, 2)}, et une valeur '{tolower(var_name)}' de {round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. {place_name} a un score d'index AVA-Can plus grand que {percentile_left}% des {scale_plural} et un score '{tolower(var_name)}' plus grand que {percentile_right}% des {scale_plural} dans la région de Montréal."
Hide,En voir moins
Show,Afficher
Perform a Bivariate Analysis,Effectuez une analyse bivariée
Walkable Access to Key Amenities,Accès à pied aux services de base
"Original Plan (May 15, 2020)",Plan initial (15 mai 2020
"Revised Plan (July 25, 2020)",Plan révisé (25 juillet 2020
Choose more variables and explore further,Choisissez d'autres variables et explorez davantage
Population density per square km,Densité de population par kilomètre carré
Pedestrian social distancing capacity,Capacité de distanciation sociale des piétons
Work commutes by car (%),Trajets domicile-travail en voiture (%)
Trajet MTL 2016 data on pedestrian flows,Données Trajet MTL 2016 sur les déplacements des piétons
Capacity for pedestrian social distancing,Capacité de distanciation sociale des piétons
Capacity for pedestrian social distancing (%),Capacité de distanciation sociale des piétons (%)
Capacity of local population to make trips on foot while maintaining 2 meters distance (%),Capacité de la population locale à effectuer des déplacements à pied tout en conservant une distance de 2 mètres (%)
Log of Population density / km2,Log de la densité de population / km2
Pedestrian trips per sqm of walkable space index (0 = average),Indice des déplacements à pied par m² d'espace piétonnier (0 = moyenne)
Clear selection,Effacez sélection
"At the census tract scale, after removing outliers with a population below 500, the capacity for pedestrian social distancing varies from {min_ped_ct}% to {max_ped_ct}%, with an average value of {mean_ped_ct}% and a median value of {median_ped_ct}%. Two thirds of census tracts have a score between {quant_low_ped_ct}% and {quant_high_ped_ct}%. Out of the 532 census tracts, 227 of them have a capacity score below 100%, while 85 of them have a capacity score below 50%.","À l'échelle du secteur de recensement, après avoir éliminé les données aberrantes avec une population en dessous de 500 personnes, la capacité pour la distanciation sociale des piétons varie de {min_ped_ct}% à {max_ped_ct}%, avec une valeur moyenne de {mean_ped_ct} et une valeur médiane de {median_ped_ct}%. Deux tiers des secteurs de recensement ont un score entre {quant_low_ped_ct}% et {quant_high_ped_ct}%. Sur les 532 secteurs de recensement, 227 d'entre eux ont un score de capacité en dessous de 100%, alors que 85 d'entre eux ont un score de capacité en dessous de 50%."
"At the dissemination area scale, after removing outliers with a population below 100, the capacity for pedestrian social distancing varies from {min_da_uni}% to {max_da_uni}%, with an average value of {mean_da_uni}% and a median value of {median_da_uni}%. Two thirds of dissemination areas have a score between {quant_low_da_uni}% and {quant_high_da_uni}%.","À l'échelle de l'aire de diffusion, après avoir éliminé les valeurs aberrantes avec une population en dessous de 100 personnes, la capacité pour la distanciation sociale des piétons varie de {min_da_uni}% à {max_da_uni}%, avec une valeur moyenne de {mean_da_uni}% et une valeur médiane de {median_da_uni}%. Deux tiers des aires de diffusion ont un score entre {quant_low_da_uni}% et {quant_high_da_uni}%."
"The dissemination area {dat_ped_uni$ID} has a population of {prettyNum(dat_ped_uni$population, ',')} and a pedestrian social distancing capacity of {round(poly_value_ped_uni, 2)}%, which is {larger_smaller_ped_uni} the region-wide median of {median_da_uni}%.<p>Dissemination area {dat_ped_uni$ID} offers a {poor_strong_ped_uni} capacity for its residents to practice social distancing in the local pedestrian realm.","L'aire de diffusion {dat_ped_uni$ID} a une population de {prettyNum(dat_ped_uni$population, ',')} et une capacité de distanciation sociale des piétons de {round(poly_value_ped_uni, 2)}%, ce qui est {larger_smaller_ped_uni} que la médiane régionale de {median_da_uni}%.<p>L'aire de diffusion {dat_ped_uni$ID} offre un potentiel {poor_strong_ped_uni} pour ses résidents de pratiquer la distanciation sociale dans les voies piétonnes locales."
"The capacity for pedestrian social distancing metric has effectively no correlation ({correlation_ped}) with {var_name_ped} at the dissemination area scale. <p>This means that, at the dissemination area scale, there is no relationship between the two variables.","La mesure de la capacité pour la distanciation sociale des piétons n'a en fait aucune corrélation ({correlation_ped}) avec '{var_name_ped}' à l'échelle de l'aire de diffusion. <p>Cela signifie que, à l'échelle de l'aire de diffusion, il n'y a pas de relation entre ces deux variables."
"The capacity for pedestrian social distancing metric has a {strong_weak_ped} {pos_neg_ped} correlation ({correlation_ped}) with '{tolower(var_name_ped)}' at the dissemination area scale. <p>This means that, in general, dissemination areas with higher capacities to allow for pedestrian social distancing tend to have {higher_lower_ped} '{tolower(var_name_ped)}' values, {high_low_disclaimer_ped}.","La mesure de la capacité de distanciation sociale des pétions a un coefficient de corrélation {strong_weak_ped} {pos_neg_ped} ({correlation_ped}) avec '{tolower(var_name_ped)}', à l'échelle de l'aire de diffusion. <p>Cela signifie que, en général, les aires de diffusion avec de plus grandes capacités de distanciation sociale des piétons tendent à avoir de {higher_lower_ped} valeurs de '{tolower(var_name_ped)}', {high_low_disclaimer_ped}."
"Dissemination area {dat_ped_biv$ID} has a population of {prettyNum(dat_ped_biv$population, ',')}, a capacity for pedestrian social distancing of {round(poly_value_1, 2)}%, and a '{tolower(var_name_ped)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. Dissemination area {dat_ped_biv$ID} has a capacity for pedestrian social distancing higher than {percentile_left}% of dissemination areas and a '{tolower(var_name_ped)}' score higher than {percentile_right}% of dissemination areas in the Montreal region.","L'aire de diffusion {dat_ped_biv$ID} a une population de {prettyNum(dat_ped_biv$population, ',')}, une capacité de distanciation sociale des piétons de {round(poly_value_1, 2)}%, et une valeur '{tolower(var_name_ped)}' de{round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. L'aire de diffusion {dat_ped_biv$ID} a une capacité de distanciation sociale des piétons plus grande que {percentile_left}% des aires de diffusion et une valeur '{tolower(var_name_ped)}' plus grand que {percentile_right}% des aires de diffusion de la région de Montréal."
Sidewalk width (meters),Largeur des trottoirs (mètres)
"Sidewalk width in Montreal varies from {min_sidewalk} meters to {max_sidewalk} meters, with an average value of {mean_sidewalk} meters and a median value of {median_sidewalk} meters. Two thirds of Montreal's sidewalks have widths between {quant_low_sidewalk} meters and {quant_high_sidewalk} meters.","La largeur des trottoirs de Montréal varie de {min_sidewalk} mètres à {max_sidewalk} mètres, avec une valeur moyenne de {mean_sidewalk} mètres et une valeur médiane de {median_sidewalk} mètres. Deux tiers des trottoirs montréalais ont une largeur entre {quant_low_sidewalk} mètres et {quant_high_sidewalk} mètres."
Shifting car trips to cycling,Transférez les trajets de voiture en vélo
Share of trips taken by car,Part des trajets effectués en voiture
Average commuting distance,Distance moyenne pour du trajet domicile-travail
Access to cycling infrastructure,Accès aux infrastructures cyclables
"% of trips taken by car, by census tract","% des trajets effectués en voiture, par secteur de recensement"
Modal shift scenarios,Scénarios de transfert modal
Baseline,Base de référence
Distance,Distance
Elevation/time,Élévation/temps
Show baseline,Afficher la base de référence
Cycling distance (km):,Distance parcourue à vélo (km):
Elevation gain (m):,Gain d'élévation (m):
Time ratio:,Ratio de temps:
VKT Reduction,Réduction de KPV
Cycling network,Réseau cycliste
Criteria: Cycling Distance (km),Critère: Distance parcourue à vélo (km)
Potential Cyclable Trips (per day),Trajets cyclistes potentiels (par jour)
VKT Savings (per day),Économies de KPV (par jour)
Criteria: Elevation Gain (m),Critère: Gain d'élévation (m)
Criteria: Time Ratio,Critère: Ratio de temps
Access to Cycling Infrastructure (km/sq.km),Accès aux infrastructures cyclables (km/km2)
Share of Car Trips by Origin (%),Part des trajets en voiture par origine (%)
Average Commuting Distance (km),Distance moyenne du trajet domicile-travail (km)
Access to cycling inf. (km/sq.km),Accès aux infr. cyclables (km/km2)
Share of trips taken by car (%),Part des trajets effectués en voiture (%)
Average commuting distance (km),Distance moyenne du trajet domicile-travail (km)
Cycling infrastructure (km/sq.km) by census tract:,Infrastructure cyclable (km/km2) par secteur de recensement:
"Length of the average commute (km), by census tract:","Distance moyenne du trajet domicile-travail (km), par secteur de recensement :"
"21.3% of people walk or cycle to work in areas in the highest class of active living potential. In areas with the lowest active living potential, only 2.5% do, compared to a regional average of 6%.","21,3 % des personnes se rendent au travail à pied ou à vélo dans des zones où le potentiel de vie active est le plus élevé. Dans les zones où le potentiel de vie active est le plus faible, seuls 2,5 % le font, contre une moyenne régionale de 6 %."
Two thirds of new immigrants (67.4%) live in areas with the best access to active living potential (ALE class 5).,"Deux tiers des nouveaux immigrants (67,4 %) vivent dans des zones où le potentiel de vie active est le plus grand (Indice AVA classe 5)."
11% of new immigrants live in areas with the worst access to active living potential (ALE class 1).,11 % des nouveaux immigrants vivent dans des zones où l'accès au potentiel de vie active est le plus faible (Indice AVA classe 1).
"While, overall, there is a trend towards lower income DAs being in high ALE class, roughly 340,000 people are in CanALE class 3 or lower AND have median household income less than $50,000.","Alors que, généralement, on observe une tendance à ce que les AD à faible revenu fassent partie de la classe AVA élevée, environ 340 000 personnes font partie de la classe CanALE 3 ou moins et ont un revenu par ménage médian inférieur à 50 000 $."
"Areas in class 4 of active living potential have the highest average dwelling values, but nearly 10% fewer renters than areas with active living class 5.","Les zones de classe 4 de potentiel de vie active ont les valeurs propriétés moyennes les plus élevées, mais comptent près de 10 % de locataires de moins que les zones avec un potentiel de de vie active de classe 5."
Roughly 90% of the region’s population live within a 1km walk of a transit station. The vast majority of areas which lack access are located off the island of Montreal.,Environ 90 % de la population de la région vit à moins d'un kilomètre à pied d'une station de transport en commun. La grande majorité des zones qui ne sont pas accessibles sont situées à l'extérieur de l'Île de Montréal.
"The Plateau-Mont-Royal has the highest active mode share to work (36% walking or biking), followed by Ville Marie with 32.5%.","Le Plateau-Mont-Royal a la part la plus élevée de modes de transport actifs pour travailler (36% à pied ou à vélo), suivi de Ville Marie avec 32,5%."
"Saint-Isidore, Sainte-Marthe-sur-le-Lac, Pointe-Calumet, Mascouche, Saint-Joseph-du-Lac, and Léry all have active mode shares of less than 2% to work.","Saint-Isidore, Sainte-Marthe-sur-le-Lac, Pointe-Calumet, Mascouche, Saint-Joseph-du-Lac et Léry ont tous des pourcentages de modes de transport actifs inférieurs à 2% pour les déplacements domicile-travail."
Pierrefonds-Roxboro and L’Île-Bizard-Sainte-Geneviève are the two Montreal boroughs with the lowest active mode share to work (less than 3% walk or bike).,Pierrefonds-Roxboro et L'Île-Bizard-Sainte-Geneviève sont les deux arrondissements de Montréal où le pourcentage de modes de transport actifs pour les déplacements domicile-travail est le plus faible (moins de 3 % à pied ou à vélo).
"Hampstead, Côte-des-Neiges-Notre-Dame-de-Grâce, and Villeray-Saint-Michel-Parc-Extension all have high active living potential (ALE class 4 or higher) and active mode shares of less than 15%.","Hampstead, Côte-des-Neiges-Notre-Dame-de-Grâce et Villeray-Saint-Michel-Parc-Extension ont tous un potentiel de vie active élevé (Indice AVA classe 4 ou plus) et des pourcentages de modes de transport actifs inférieurs à 15 %."
"Sainte-Julie has the highest active mode share (9.1%) of any borough or municipality with low active living potential, followed by Senneville (5.8%) and Montréal-Est (5.8%).","Sainte-Julie a la plus grande proportion de mode de transport actif (9,1 %) de tous les arrondissements ou municipalités à faible potentiel de vie active, suivie de Senneville (5,8 %) et de Montréal-Est (5,8 %)."
Montréal-Est has the highest proportion (22.2%) of people who take public transit to work of any area with low walkability.,"De tous les secteurs où le potentiel piétonnier est faible, c'est à Montréal-Est que l'on trouve la plus forte proportion (22,2 %) de personnes qui prennent le transport en commun pour se rendre au travail."
"Hampstead has the lowest proportion (15.6%) of people who take public transit to work of any area with high walkability, and Côte-des-Neiges-Notre-Dame-de-Grâce has the highest (46.7%).","Hampstead a la plus faible proportion (15,6 %) de personnes qui prennent le transport en commun pour les déplacements domicile-travail parmi tous les secteurs à fort potentiel piétonnier, et Côte-des-Neiges-Notre-Dame-de-Grâce a la plus forte proportion (46,7 %)."
